,,ZipCode,% of Total,Unique Values
Larceny Theft,Property Crime,15217,0.38,595
Vandalism,Part II,15217,0.1,162
Other assaults,Part II,15217,0.09,149
All Other Offenses,Part II,15217,0.07,118
Burglary,Property Crime,15217,0.07,105
Fraud,Part II,15217,0.05,84
Liquor Laws,Part II,15217,0.05,72
Disorderly Conduct,Part II,15217,0.04,69
Robbery,Violent Crime,15217,0.02,37
Drunkenness,Part II,15217,0.02,35
Drug Abuse Violations,Part II,15217,0.02,30
Forgery and Counterfeiting,Part II,15217,0.02,26
Assault,Violent Crime,15217,0.01,21
Driving Under the Influence,Part II,15217,0.01,17
Sex Offenses (Except Forcible Rape and Prostitution),Part II,15217,0.01,17
Motor Vehicle Theft,Property Crime,15217,0.01,16
"Weapons: Carrying, Possessing, Etc",Part II,15217,0.01,11
Rape,Violent Crime,15217,0,6
Arson,Property Crime,15217,0,4
Prostitution and Commercialized Vice,Part II,15217,0,3
"Stolen Property: Buying, Receiving, Possessing",Part II,15217,0,3
Runaways (Persons under age 18),Part II,15217,0,2
Criminal Homicide,Violent Crime,15217,0,1
Embezzlement,Part II,15217,0,1
Offenses Against the Family and Children,Part II,15217,0,1
