,,ZipCode,% of Total,Unique Values
Larceny Theft,Property Crime,15232,38%,512
Fraud,Part II,15232,10%,130
Other assaults,Part II,15232,9%,117
All Other Offenses,Part II,15232,8%,104
Vandalism,Part II,15232,7%,91
Burglary,Property Crime,15232,7%,88
Disorderly Conduct,Part II,15232,5%,66
Drug Abuse Violations,Part II,15232,5%,61
Motor Vehicle Theft,Property Crime,15232,2%,31
Driving Under the Influence,Part II,15232,2%,25
Drunkenness,Part II,15232,2%,21
Robbery,Violent Crime,15232,1%,19
Forgery and Counterfeiting,Part II,15232,1%,18
Assault,Violent Crime,15232,1%,12
"Weapons: Carrying, Possessing, Etc",Part II,15232,1%,10
Sex Offenses (Except Forcible Rape and Prostitution),Part II,15232,1%,8
Liquor Laws,Part II,15232,0%,6
Prostitution and Commercialized Vice,Part II,15232,0%,5
Arson,Property Crime,15232,0%,3
Offenses Against the Family and Children,Part II,15232,0%,3
Rape,Violent Crime,15232,0%,3
Criminal Homicide,Violent Crime,15232,0%,2
Embezzlement,Part II,15232,0%,2
"Stolen Property: Buying, Receiving, Possessing",Part II,15232,0%,2
